

//
// Armor techs
// 
ARMOR_0_NAME     | 钛装甲
BATTLESUIT_1_DETAIL  | 该装甲会提供防护和力量。地面战斗的点数+10。

BATTLESUIT_2_NAME    | 动力装甲
BATTLESUIT_2_DETAIL  | 该装甲会提高力量、防御和一定的飞行能力。地面战斗的点数+20。

BATTLESUIT_3_NAME    | 强力装甲
BATTLESUIT_3_DETAIL  | 提供高机动性、反重力飞行和强力护甲，最强的地面装备。地面战斗的点数+30。


//
// Energy Focus techs for beam weapons
// 
BEAMFOCUS_0_NAME    | 高能聚焦
BEAMFOCUS_0_BRIEF   | 对敌武器的距离+3
BEAMFOCUS_0_DETAIL  | 使所有对敌武器的距离+3

BEAMFOCUS_1_NAME    | 破甲之光
BEAMFOCUS_1_BRIEF   | 激光武器，使敌人的护甲减半
BEAMFOCUS_1_DETAIL  | 协调所有激光武器，发出一道超强光线，将敌人的护甲减半。


//
// Biological antidote techs 
// 
BIOANTIDOTE_0_NAME    | 病毒抗体
BIOANTIDOTE_0_DETAIL  | 遭到生化武器攻击后的伤亡减少1百万。

BIOANTIDOTE_1_NAME    | 强力抗体
BIOANTIDOTE_1_DETAIL  | 遭到生化武器攻击后的伤亡减少2百万。


//
// Biological weapon techs 
// 
BIOWEAPON_0_NAME     | 死亡孢子
BIOWEAPON_0_BRIEF    | 生化武器
BIOWEAPON_0_DETAIL   | 可怕的生化武器，每次攻击让行星人口减少1百万。

BIOWEAPON_1_NAME     | 末日病毒
BIOWEAPON_1_BRIEF    | 生化武器
BIOWEAPON_1_DETAIL   | 致命的生化武器，每次攻击让行星人口减少2百万。

BIOWEAPON_2_NAME     | 死神之吻
BIOWEAPON_2_BRIEF    | 生化武器
BIOWEAPON_2_DETAIL   | 人神共愤的生化武器，每次攻击让行星人口减少3百万。

//
// Black Hole Generator tech
//
BLACKHOLE_0_NAME     | 黑洞生成器
BLACKHOLE_0_DETAIL   | 创造一个扭曲时空的子空间，生成的黑洞会破坏25%到100%的敌军飞船或导弹基地。力场等级每提高1级，会减少2%的伤害。



//
// Bomb weapon tech
//
BOMB_0_NAME     | 原子炸弹
BOMB_0_BRIEF    | 仅限对地攻击
BOMB_0_DETAIL   | 炸弹会对目标造成3-12点的伤害，仅限对地攻击。


BOMB_1_NAME     | 核聚变炸弹
BOMB_1_BRIEF    | 仅限对地攻击
BOMB_1_DETAIL   | 炸弹会对目标造成5-20点的伤害，仅限对地攻击。

BOMB_2_NAME     | 反物质炸弹
BOMB_2_BRIEF    | 仅限对地攻击
BOMB_2_DETAIL   | 炸弹会对目标造成10-40点的伤害，仅限对地攻击。


BOMB_3_NAME     | 欧米伽炸弹
BOMB_3_BRIEF    | 仅限对地攻击
BOMB_3_DETAIL   | 炸弹会对目标造成20-50点的伤害，仅限对地攻击。

BOMB_4_NAME     | 中子炸弹
BOMB_4_BRIEF    | 仅限对地攻击
BOMB_4_DETAIL   | 炸弹会对目标造成40-70点的伤害，仅限对地攻击。

//
// Cloaking tech
//
CLOAK_0_NAME     | 隐形装置
CLOAK_0_BRIEF    | 让飞船几乎隐形
CLOAK_0_DETAIL   | 让飞船几乎隐形，直到他们发动攻击的时候。增加5点防御力。飞船必须显形才能攻击，并且会在他们不攻击的回合回到隐形状态。


//
// Cloning tech
//
CLONE_0_NAME     | 克隆
CLONE_0_DETAIL   | 以每1百万人/10BC的价格，产出克隆人。

CLONE_1_NAME     | 进阶克隆
CLONE_1_DETAIL   | 以每1百万人/5BC的价格，产出克隆人。


//
// Combat Transporter tech
//
COMBATTRANSPORT_0_NAME     | 军队传送器
COMBATTRANSPORT_0_DETAIL   | 装备了这个装置的运输机有50%的概率直接将军队传送到敌人星球的地面，避免敌机和导弹基地的攻击。


//
// Control Environment tech
//
CONTROLENV_0_NAME    | 控制正常环境
CONTROLENV_0_ITEM    | 标准殖民基地
CONTROLENV_0_BRIEF   | 允许在正常星球登陆
CONTROLENV_0_DETAIL  | 允许在正常行星殖民。

CONTROLENV_1_NAME    | 控制沙暴环境
CONTROLENV_1_ITEM    | 沙暴殖民基地
CONTROLENV_1_BRIEF   | 允许在沙暴星球登陆
CONTROLENV_1_DETAIL  | 允许在沙暴和环境好于沙暴的行星殖民。

CONTROLENV_2_NAME    | 控制冻土环境
CONTROLENV_2_ITEM    | 冻土殖民基地
CONTROLENV_2_BRIEF   | 允许在冻土星球登陆
CONTROLENV_2_DETAIL  | 允许在冻土和环境好于冻土的行星殖民。

CONTROLENV_3_NAME    | 控制死亡环境
CONTROLENV_3_ITEM    | 死寂殖民基地
CONTROLENV_3_BRIEF   | 允许在死寂星球登陆
CONTROLENV_3_DETAIL  | 允许在死寂和环境好于死寂的行星殖民。

CONTROLENV_4_NAME    | 控制熔炉环境
CONTROLENV_4_ITEM    | 熔炉殖民基地
CONTROLENV_4_BRIEF   | 允许在熔炉星球登陆
CONTROLENV_4_DETAIL  | 允许在熔炉和环境好于熔炉的行星殖民。

CONTROLENV_5_NAME    | 控制剧毒环境
CONTROLENV_5_ITEM    | 剧毒殖民基地
CONTROLENV_5_BRIEF   | 允许在剧毒星球登陆
CONTROLENV_5_DETAIL  | 允许在剧毒和环境好于剧毒的行星殖民。

CONTROLENV_6_NAME    | 控制辐射环境
CONTROLENV_6_ITEM    | 辐射殖民基地
CONTROLENV_6_BRIEF   | 允许在辐射星球登陆
CONTROLENV_6_DETAIL  | 允许在辐射和环境好于辐射的行星殖民。


//
// Deflector Shield tech
//
// this is the entry on Ship Design for selecting no deflector shield
DEFLECTOR_0_NAME      | 
DEFLECTOR_0_ITEM      |   
DEFLECTOR_0_BRIEF     |  
DEFLECTOR_0_DETAIL    | 

DEFLECTOR_1_NAME      | 力场盾1阶
DEFLECTOR_1_ITEM      | 1阶
DEFLECTOR_1_BRIEF     | 吸收1点伤害
DEFLECTOR_1_DETAIL    | 吸收所有攻击的1点伤害。

DEFLECTOR_2_NAME      | 力场盾2阶
DEFLECTOR_2_ITEM      | 2阶
DEFLECTOR_2_BRIEF     | 吸收2点伤害
DEFLECTOR_2_DETAIL    | 吸收所有攻击的2点伤害。

DEFLECTOR_3_NAME      | 力场盾3阶
DEFLECTOR_3_ITEM      | 3阶
DEFLECTOR_3_BRIEF     | 吸收3点伤害
DEFLECTOR_3_DETAIL    | 吸收所有攻击的3点伤害。

DEFLECTOR_4_NAME      | 力场盾4阶
DEFLECTOR_4_ITEM      | 4阶
DEFLECTOR_4_BRIEF     | 吸收4点伤害
DEFLECTOR_4_DETAIL    | 吸收所有攻击的4点伤害。

DEFLECTOR_5_NAME      | 力场盾5阶
DEFLECTOR_5_ITEM      | 5阶
DEFLECTOR_5_BRIEF     | 吸收5点伤害
DEFLECTOR_5_DETAIL    | 吸收所有攻击的5点伤害。

DEFLECTOR_6_NAME      | 力场盾6阶
DEFLECTOR_6_ITEM      | 6阶
DEFLECTOR_6_BRIEF     | 吸收6点伤害
DEFLECTOR_6_DETAIL    | 吸收所有攻击的6点伤害。

DEFLECTOR_7_NAME      | 力场盾7阶
DEFLECTOR_7_ITEM      | 7阶
DEFLECTOR_7_BRIEF     | 吸收7点伤害
DEFLECTOR_7_DETAIL    | 吸收所有攻击的7点伤害。

DEFLECTOR_8_NAME      | 力场盾9阶
DEFLECTOR_8_ITEM      | 9阶
DEFLECTOR_8_BRIEF     | 吸收9点伤害
DEFLECTOR_8_DETAIL    | 吸收所有攻击的9点伤害。

DEFLECTOR_9_NAME      | 力场盾11阶
DEFLECTOR_9_ITEM      | 11阶
DEFLECTOR_9_BRIEF     | 吸收11点伤害
DEFLECTOR_9_DETAIL    | 吸收所有攻击的11点伤害。

DEFLECTOR_10_NAME     | 力场盾13阶
DEFLECTOR_10_ITEM     | 13阶
DEFLECTOR_10_BRIEF    | 吸收13点伤害
DEFLECTOR_10_DETAIL   | 吸收所有攻击的13点伤害。

DEFLECTOR_11_NAME     | 力场盾15阶
DEFLECTOR_11_ITEM     | 15阶
DEFLECTOR_11_BRIEF    | 吸收15点伤害
DEFLECTOR_11_DETAIL   | 吸收所有攻击的15点伤害。


//
// Displacement tech
//
DISPLACEMENT_0_NAME   | 位面转移装置
DISPLACEMENT_0_BRIEF  | 敌人1/3的攻击会落空
DISPLACEMENT_0_DETAIL | Randomly shifts the equipped ships in and out of normal space, allowing them to avoid 1/3 of all non-area weapon attacks.
将装备了此装置的飞船进行随机位面切换，让它能躲避1/3的敌人的单体武器攻击。

//
// ECM Jammer tech
//
// this is the entry on Ship Design for selecting no ECM Jammer
ECMJAMMER_0_NAME      | 
ECMJAMMER_0_ITEM      | 
ECMJAMMER_0_BRIEF     | 导弹防御0
ECMJAMMER_0_DETAIL    | 

ECMJAMMER_1_NAME      | 电子干扰器1
ECMJAMMER_1_ITEM      | 干扰器1
ECMJAMMER_1_BRIEF     | 导弹防御1
ECMJAMMER_1_DETAIL    | 舰船的反导弹能力增加1级。

ECMJAMMER_2_NAME      | 电子干扰器2
ECMJAMMER_2_ITEM      | 干扰器2
ECMJAMMER_2_BRIEF     | 导弹防御2
ECMJAMMER_2_DETAIL    | 舰船的反导弹能力增加2级。

ECMJAMMER_3_NAME      | 电子干扰器3
ECMJAMMER_3_ITEM      | 干扰器3
ECMJAMMER_3_BRIEF     | 导弹防御3
ECMJAMMER_3_DETAIL    | 舰船的反导弹能力增加3级。

ECMJAMMER_4_NAME      | 电子干扰器4
ECMJAMMER_4_ITEM      | 干扰器4
ECMJAMMER_4_BRIEF     | 导弹防御4
ECMJAMMER_4_DETAIL    | 舰船的反导弹能力增加4级。

ECMJAMMER_5_NAME      | 电子干扰器5
ECMJAMMER_5_ITEM      | 干扰器5
ECMJAMMER_5_BRIEF     | 导弹防御5
ECMJAMMER_5_DETAIL    | 舰船的反导弹能力增加5级。

ECMJAMMER_6_NAME      | 电子干扰器6
ECMJAMMER_6_ITEM      | 干扰器6
ECMJAMMER_6_BRIEF     | 导弹防御6
ECMJAMMER_6_DETAIL    | 舰船的反导弹能力增加6级。

ECMJAMMER_7_NAME      | 电子干扰器7
ECMJAMMER_7_ITEM      | 干扰器7
ECMJAMMER_7_BRIEF     | 导弹防御7
ECMJAMMER_7_DETAIL    | 舰船的反导弹能力增加7级。

ECMJAMMER_8_NAME      | 电子干扰器8
ECMJAMMER_8_ITEM      | 干扰器8
ECMJAMMER_8_BRIEF     | 导弹防御8
ECMJAMMER_8_DETAIL    | 舰船的反导弹能力增加8级。

ECMJAMMER_9_NAME      | 电子干扰器9
ECMJAMMER_9_ITEM      | 干扰器9
ECMJAMMER_9_BRIEF     | 导弹防御9
ECMJAMMER_9_DETAIL    | 舰船的反导弹能力增加9级。

ECMJAMMER_10_NAME     | 电子干扰器10
ECMJAMMER_10_ITEM     | 干扰器10
ECMJAMMER_10_BRIEF    | 导弹防御10
ECMJAMMER_10_DETAIL   | 舰船的反导弹能力增加10级。


//
// Ecological Restoration techs
//
ECORESTORATION_0_NAME   | 生态还原
ECORESTORATION_0_DETAIL | 消耗1BC治理2单位工业污染。

ECORESTORATION_1_NAME   | 进阶生态还原
ECORESTORATION_1_DETAIL | 消耗1BC治理3单位工业污染。

ECORESTORATION_2_NAME   | 强化生态还原
ECORESTORATION_2_DETAIL | 消耗1BC治理5单位工业污染。

ECORESTORATION_3_NAME   | 高阶生态还原
ECORESTORATION_3_DETAIL | E消耗1BC治理10单位工业污染。

ECORESTORATION_4_NAME   | 完全生态还原
ECORESTORATION_4_DETAIL | 消耗1BC治理20单位工业污染。


//
// Energy Pulsar techs
//
PULSAR_0_NAME     | 能量脉冲
PULSAR_0_BRIEF    | 对区域范围造成1到5点伤害
PULSAR_0_DETAIL   | 有效的能量脉冲武器，产生一个圆形区域的能量脉冲，对附近的飞船造成至多5点伤害；每多2个飞船开启脉冲攻击，就增加1点伤害。

PULSAR_1_NAME     | 磁力脉冲
PULSAR_1_BRIEF    | 对区域范围造成2到10点伤害
PULSAR_1_DETAIL   | 有效的能量脉冲武器，产生一个圆形区域的能量脉冲，对附近的飞船造成至多10点伤害；每多1个飞船开启脉冲攻击，就增加1点伤害。

//
// Engine techs
//
ENGINE_0_NAME    | 传统动力引擎
ENGINE_0_DETAIL  | 飞船以曲速%1移动，在战斗中有1级灵活性。
ENGINE_0_ITEM    | 传统动力
ENGINE_0_ITEM2   | 1级
ENGINE_0_BRIEF   | 曲速 1  防御 %1
ENGINE_0_BRIEF2  | 战场速度 %1

ENGINE_1_NAME    | 核动力引擎 
ENGINE_1_DETAIL  | 飞船以曲速%1移动，在战斗中有2级灵活性。
ENGINE_1_ITEM    | 核动力
ENGINE_1_ITEM2   | 2级
ENGINE_1_BRIEF   | 曲速 2  防御 %1
ENGINE_1_BRIEF2  | 战场速度 %1

ENGINE_2_NAME    | 亚光速引擎
ENGINE_2_DETAIL  | 飞船以曲速%1移动，在战斗中有3级灵活性。
ENGINE_2_ITEM    | 亚光速
ENGINE_2_ITEM2   | 3级
ENGINE_2_BRIEF   | 曲速 3  防御 %1
ENGINE_2_BRIEF2  | 战场速度 %1

ENGINE_3_NAME    | 核聚变引擎
ENGINE_3_DETAIL  | 飞船以曲速%1移动，在战斗中有3级灵活性。
ENGINE_3_ITEM    | 核聚变
ENGINE_3_ITEM2   | 4级
ENGINE_3_BRIEF   | 曲速 4  防御 %1
ENGINE_3_BRIEF2  | 战场速度 %1

ENGINE_4_NAME    | 脉冲引擎
ENGINE_4_DETAIL  | 飞船以曲速%1移动，在战斗中有5级灵活性。
ENGINE_4_ITEM    | 脉冲
ENGINE_4_ITEM2   | 5级
ENGINE_4_BRIEF   | 曲速 5  防御 %1
ENGINE_4_BRIEF2  | 战场速度 %1

ENGINE_5_NAME    | 离子引擎
ENGINE_5_DETAIL  | 飞船以曲速%1移动，在战斗中有6级灵活性。
ENGINE_5_ITEM    | 离子
ENGINE_5_ITEM2   | 6级
ENGINE_5_BRIEF   | 曲速 6  防御 %1
ENGINE_5_BRIEF2  | 战场速度 %1

ENGINE_6_NAME    | 反物质引擎
ENGINE_6_DETAIL  | 飞船以曲速%1移动，在战斗中有7级灵活性。
ENGINE_6_ITEM    | 反物质
ENGINE_6_ITEM2   | 7级
ENGINE_6_BRIEF   | 曲速 7  防御 %1
ENGINE_6_BRIEF2  | 战场速度 %1

ENGINE_7_NAME    | 位面引擎
ENGINE_7_DETAIL  | 飞船以曲速%1移动，在战斗中有8级灵活性。
ENGINE_7_ITEM    | 位面
ENGINE_7_ITEM2   | 8级
ENGINE_7_BRIEF   | 曲速 8  防御 %1
ENGINE_7_BRIEF2  | 战场速度 %1

ENGINE_8_NAME    | 极引擎
ENGINE_8_DETAIL  | 飞船以曲速%1移动，在战斗中有9级灵活性。
ENGINE_8_ITEM    | 极
ENGINE_8_ITEM2   | 9级
ENGINE_8_BRIEF   | 曲速 9  防御 %1
ENGINE_8_BRIEF2  | 战场速度 %1


//
// Fuel Range techs
//
FUELRANGE_0_NAME   | Fuel Cells
FUELRANGE_0_DETAIL | Fuel reserves allow ships to move up to %1 light-years away from colony planets.

FUELRANGE_1_NAME   | Hydrogen Fuel Cells
FUELRANGE_1_DETAIL | Fuel reserves allow ships to move up to %1 light-years away from colony planets.

FUELRANGE_2_NAME   | Deuterium Fuel Cells
FUELRANGE_2_DETAIL | Fuel reserves allow ships to move up to %1 light-years away from colony planets.

FUELRANGE_3_NAME   | Irridium Fuel Cells
FUELRANGE_3_DETAIL | Fuel reserves allow ships to move up to %1 light-years away from colony planets.

FUELRANGE_4_NAME   | Dotomite Crystals
FUELRANGE_4_DETAIL | Fuel reserves allow ships to move up to %1 light-years away from colony planets.

FUELRANGE_5_NAME   | Uridium Fuel Cells
FUELRANGE_5_DETAIL | Fuel reserves allow ships to move up to %1 light-years away from colony planets.

FUELRANGE_6_NAME   | Reajax II Fuel Cells
FUELRANGE_6_DETAIL | Fuel reserves allow ships to move up to %1 light-years away from colony planets.

FUELRANGE_7_NAME   | Trilithium Crystals
FUELRANGE_7_DETAIL | Fuel reserves allow ships to move up to %1 light-years away from colony planets.

FUELRANGE_8_NAME   | Thorium Cells
FUELRANGE_8_DETAIL | Fuel reserves allow ships to move any distance away from colony planets.


//
// Future Computer techs
//
FUTURECOMP_0_NAME    | Future Computer I
FUTURECOMP_0_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_1_NAME    | Future Computer II
FUTURECOMP_1_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_2_NAME    | Future Computer III
FUTURECOMP_2_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_3_NAME    | Future Computer IV
FUTURECOMP_3_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_4_NAME    | Future Computer V
FUTURECOMP_4_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_5_NAME    | Future Computer VI
FUTURECOMP_5_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_6_NAME    | Future Computer VII
FUTURECOMP_6_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_7_NAME    | Future Computer VIII
FUTURECOMP_7_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_8_NAME    | Future Computer IX
FUTURECOMP_8_DETAIL  | General Improvements in Computer Technology.

FUTURECOMP_9_NAME    | Future Computer X
FUTURECOMP_9_DETAIL  | General Improvements in Computer Technology. 


//
// Future Construction techs
//
FUTURECONST_0_NAME    | Future Construction I
FUTURECONST_0_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_1_NAME    | Future Construction II
FUTURECONST_1_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_2_NAME    | Future Construction III
FUTURECONST_2_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_3_NAME    | Future Construction IV
FUTURECONST_3_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_4_NAME    | Future Construction V
FUTURECONST_4_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_5_NAME    | Future Construction VI
FUTURECONST_5_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_6_NAME    | Future Construction VII
FUTURECONST_6_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_7_NAME    | Future Construction VIII
FUTURECONST_7_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_8_NAME    | Future Construction IX
FUTURECONST_8_DETAIL  | General Improvements in Construction Technology.

FUTURECONST_9_NAME    | Future Construction X
FUTURECONST_9_DETAIL  | General Improvements in Construction Technology. 


//
// Future Force Field techs
//
FUTUREFORCE_0_NAME    | Future Force Field I
FUTUREFORCE_0_DETAIL  | General Improvements in Force Field Technology.

FUTUREFORCE_1_NAME    | Future Force Field II
FUTUREFORCE_1_DETAIL  | General Improvements in Force Field Technology.

FUTUREFORCE_2_NAME    | Future Force Field III
FUTUREFORCE_2_DETAIL  | General Improvements in Force Field Technology.

FUTUREFORCE_3_NAME    | Future Force Field IV
FUTUREFORCE_3_DETAIL  | General Improvements in Force Field Technology.

FUTUREFORCE_4_NAME    | Future Force Field V
FUTUREFORCE_4_DETAIL  | General Improvements in Force Field Technology.

FUTUREFORCE_5_NAME    | Future Force Field VI
FUTUREFORCE_5_DETAIL  | General Improvements in Force Field Technology.

FUTUREFORCE_6_NAME    | Future Force Field VII
FUTUREFORCE_6_DETAIL  | General Improvements in Force Field Technology.

FUTUREFORCE_7_NAME    | Future Force Field VIII
FUTUREFORCE_7_DETAIL  | General Improvements in Force Field Technology.

FUTUREFORCE_8_NAME    | Future Force Field IX
FUTUREFORCE_8_DETAIL  | General Improvements in Force Field Technology.

FUTUREFORCE_9_NAME    | Future Force Field X
FUTUREFORCE_9_DETAIL  | General Improvements in Force Field Technology.


//
// Future Planetology techs
//
FUTUREPLANET_0_NAME    | Future Planetology I
FUTUREPLANET_0_DETAIL  | General Improvements in Planetology Technology.

FUTUREPLANET_1_NAME    | Future Planetology II
FUTUREPLANET_1_DETAIL  | General Improvements in Planetology Technology.

FUTUREPLANET_2_NAME    | Future Planetology III
FUTUREPLANET_2_DETAIL  | General Improvements in Planetology Technology.

FUTUREPLANET_3_NAME    | Future Planetology IV
FUTUREPLANET_3_DETAIL  | General Improvements in Planetology Technology.

FUTUREPLANET_4_NAME    | Future Planetology V
FUTUREPLANET_4_DETAIL  | General Improvements in Planetology Technology.

FUTUREPLANET_5_NAME    | Future Planetology VI
FUTUREPLANET_5_DETAIL  | General Improvements in Planetology Technology.

FUTUREPLANET_6_NAME    | Future Planetology VII
FUTUREPLANET_6_DETAIL  | General Improvements in Planetology Technology.

FUTUREPLANET_7_NAME    | Future Planetology VIII
FUTUREPLANET_7_DETAIL  | General Improvements in Planetology Technology.

FUTUREPLANET_8_NAME    | Future Planetology IX
FUTUREPLANET_8_DETAIL  | General Improvements in Planetology Technology.

FUTUREPLANET_9_NAME    | Future Planetology X
FUTUREPLANET_9_DETAIL  | General Improvements in Planetology Technology.


//
// Future Propulsion techs
//
FUTUREPROP_0_NAME    | Future Propulsion I
FUTUREPROP_0_DETAIL  | General Improvements in Propulsion Technology.

FUTUREPROP_1_NAME    | Future Propulsion II
FUTUREPROP_1_DETAIL  | General Improvements in Propulsion Technology.

FUTUREPROP_2_NAME    | Future Propulsion III
FUTUREPROP_2_DETAIL  | General Improvements in Propulsion Technology.

FUTUREPROP_3_NAME    | Future Propulsion IV
FUTUREPROP_3_DETAIL  | General Improvements in Propulsion Technology.

FUTUREPROP_4_NAME    | Future Propulsion V
FUTUREPROP_4_DETAIL  | General Improvements in Propulsion Technology.

FUTUREPROP_5_NAME    | Future Propulsion VI
FUTUREPROP_5_DETAIL  | General Improvements in Propulsion Technology.

FUTUREPROP_6_NAME    | Future Propulsion VII
FUTUREPROP_6_DETAIL  | General Improvements in Propulsion Technology.

FUTUREPROP_7_NAME    | Future Propulsion VIII
FUTUREPROP_7_DETAIL  | General Improvements in Propulsion Technology.

FUTUREPROP_8_NAME    | Future Propulsion IX
FUTUREPROP_8_DETAIL  | General Improvements in Propulsion Technology.

FUTUREPROP_9_NAME    | Future Propulsion X
FUTUREPROP_9_DETAIL  | General Improvements in Propulsion Technology.


//
// Future Weapon techs
//
FUTUREWEAPON_0_NAME    | Future Weapon I
FUTUREWEAPON_0_DETAIL  | General Improvements in Weapon Technology.

FUTUREWEAPON_1_NAME    | Future Weapon II
FUTUREWEAPON_1_DETAIL  | General Improvements in Weapon Technology.

FUTUREWEAPON_2_NAME    | Future Weapon III
FUTUREWEAPON_2_DETAIL  | General Improvements in Weapon Technology.

FUTUREWEAPON_3_NAME    | Future Weapon IV
FUTUREWEAPON_3_DETAIL  | General Improvements in Weapon Technology.

FUTUREWEAPON_4_NAME    | Future Weapon V
FUTUREWEAPON_4_DETAIL  | General Improvements in Weapon Technology.

FUTUREWEAPON_5_NAME    | Future Weapon VI
FUTUREWEAPON_5_DETAIL  | General Improvements in Weapon Technology.

FUTUREWEAPON_6_NAME    | Future Weapon VII
